Products,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023
"Beef stewing cuts, per kilogram 3",16.01,17.78,18.68,18.99,19.09,19.31,19.21,17.91,20.27,19.27,20.96,18.66,18.69
"Beef striploin cuts, per kilogram 3",26.14,33.07,30.63,24.34,22.03,21.87,21.44,26.60,25.05,18.97,19.67,27.78,23.05
"Beef top sirloin cuts, per kilogram 3",17.46,16.26,17.21,17.12,20.18,17.81,19.78,21.96,14.57,18.07,13.69,18.83,18.45
"Beef rib cuts, per kilogram 3",30.55,24.94,20.27,31.97,25.76,31.99,28.33,23.52,18.44,30.69,18.69,31.59,34.62
"Ground beef, per kilogram 3",10.02,10.16,10.47,10.08,9.91,10.48,10.58,11.13,9.85,10.21,10.15,10.13,9.59
"Pork loin cuts, per kilogram 3",7.49,8.01,9.01,8.01,8.71,8.63,7.80,7.66,8.90,7.95,9.00,9.55,7.59
"Pork rib cuts, per kilogram 3",11.25,10.62,11.57,11.98,11.62,11.21,10.61,10.22,9.63,8.04,10.11,8.03,8.25
"Pork shoulder cuts, per kilogram 3",4.12,7.50,8.41,8.17,6.84,5.12,8.34,8.89,4.89,7.30,9.52,4.24,7.11
"Whole chicken, per kilogram 3",5.81,6.03,5.63,6.63,6.13,5.98,6.07,7.39,6.30,6.02,7.05,5.72,6.84
"Chicken breasts, per kilogram 3",13.17,14.67,15.81,15.51,14.71,16.37,15.84,15.64,13.18,13.47,15.16,14.07,13.13
"Chicken thigh, per kilogram 3",10.64,10.44,12.73,12.12,10.34,11.74,12.62,12.84,12.56,12.58,11.93,12.73,10.85
"Chicken drumsticks, per kilogram 3",6.90,5.48,8.34,5.98,6.32,6.22,6.85,6.74,8.40,6.20,5.83,6.01,6.67
"Bacon, 500 grams 4",7.18,6.88,7.30,7.19,6.97,7.35,7.34,7.15,7.47,7.18,7.66,6.87,6.54
"Wieners, 400 grams 4",4.20,3.95,4.39,4.48,4.56,4.60,4.44,4.38,4.53,4.50,4.56,4.39,4.42
"Salmon, per kilogram 3",26.39,27.08,28.72,30.60,30.86,29.60,29.07,29.56,26.82,27.46,25.81,29.38,29.74
"Shrimp, 300 grams 4",7.38,7.37,7.73,7.93,8.07,7.75,7.71,7.66,7.22,7.44,7.97,7.85,7.65
"Canned salmon, 213 grams 4",4.76,4.74,4.95,4.52,4.61,4.78,4.82,4.86,4.66,4.79,4.99,4.96,4.33
"Canned tuna, 170 grams 3",1.68,1.77,1.88,1.78,1.81,1.61,1.76,1.73,1.62,1.63,1.80,1.85,1.90
